Variable,M2_Estimate,M2_Std_Error,M2_t_value,M2_p_value,M3_Estimate,M3_Std_Error,M3_t_value,M3_p_value,베타증감,검정통계량 증감
절편(Intercept),-223,643,0,1,-1319,180,-7,0,-1096,7
연령 2차항,3,0,44,0,3,0,160,0,0,116
성별(남성),-459,171,-3,0,-443,47,-9,0,16,6
체질량지수(BMI),115,24,5,0,100,7,15,0,-15,10
BMI 30 이상,-975,296,-3,0,-997,82,-12,0,-22,9
부양가족수,661,70,9,0,602,19,31,0,-59,22
흡연여부(흡연),13356,310,43,0,13829,84,164,0,473,121
지역(북서),-228,246,-1,0,-159,68,-2,0,69,1
지역(남동),-925,246,-4,0,-499,68,-7,0,426,3
지역(남서),-1315,245,-5,0,-562,67,-8,0,753,3
비만*흡연 상호작용,19858,424,47,0,20030,115,174,0,172,127
